Studentid,firstname,lastname,email,Date of Exam,Marks,Percentage,City,Country,Country Code
100,Ana,Garlinda,Ana.Garlinda@yopmail.com,1934-10-15,772,72.4097,Ahmedabad,Bulgaria,CO
101,Sabina,Skurnik,Sabina.Skurnik@yopmail.com,2015-09-26,824,75.7137,Alofi,China,TR
102,Adore,Merell,Adore.Merell@yopmail.com,1911-08-13,160,55.3714,Semarang,Yemen,ER
103,Clary,Vanni,Clary.Vanni@yopmail.com,1939-08-16,386,66.8211,Ndola,Saint Pierre and Miquelon,FK
104,Tybie,Turne,Tybie.Turne@yopmail.com,1987-08-11,812,70.6931,Belmopan,"Iran, Islamic Republic Of",BM
105,Karly,Cassius,Karly.Cassius@yopmail.com,1986-02-20,299,61.0949,Cincinnati,Palau,IE
106,Giustina,Bow,Giustina.Bow@yopmail.com,1975-04-21,609,43.5898,Ankara,Guyana,NC
107,Babita,Federica,Babita.Federica@yopmail.com,1903-05-15,786,61.555,Cayenne,Armenia,GH
108,Jenilee,Rustice,Jenilee.Rustice@yopmail.com,1923-08-23,486,92.7945,Kanpur,"Macedonia, The Former Yugoslav Republic of",JO
109,Aeriela,Fennessy,Aeriela.Fennessy@yopmail.com,2004-12-02,831,57.8323,Cleveland,Kazakhstan,NU
110,Ann-Marie,Cyrie,Ann-Marie.Cyrie@yopmail.com,2011-02-18,804,60.3973,Geneva,Finland,CD
111,Jemie,Zamora,Jemie.Zamora@yopmail.com,1902-06-26,732,62.2419,Quebec City,Ireland,AR
112,Demetris,Robertson,Demetris.Robertson@yopmail.com,1948-02-21,13,45.6573,Montevideo,American Samoa,TR
113,Nariko,Joseph,Nariko.Joseph@yopmail.com,2015-11-10,16,33.2215,Taichung,Guinea,HM
114,Pollyanna,Liebermann,Pollyanna.Liebermann@yopmail.com,1990-07-03,265,40.4232,Riga,Kenya,GF
115,Lizzie,Breed,Lizzie.Breed@yopmail.com,1954-10-01,213,68.5653,Rio de Janeiro,Bangladesh,SI
116,Benita,Iaverne,Benita.Iaverne@yopmail.com,1940-02-20,970,70.1119,Mandurah,Malawi,MW
117,Ileana,Lipson,Ileana.Lipson@yopmail.com,1977-06-17,651,48.5338,Quito,Colombia,SC
118,Rayna,Gahl,Rayna.Gahl@yopmail.com,1999-07-12,984,33.9769,Durango,Maldives,DK
119,Nollie,Ailyn,Nollie.Ailyn@yopmail.com,1973-01-17,898,92.1014,Dodoma,"Cote D""Ivoire",AL
120,Stevana,Yuille,Stevana.Yuille@yopmail.com,1961-05-12,41,31.3859,Guadalajara,"Congo, The Democratic Republic of the",TF
121,Lucy,Kalinda,Lucy.Kalinda@yopmail.com,1924-02-23,533,85.6962,Almaty,Russian Federation,IR
122,Zaria,Graig,Zaria.Graig@yopmail.com,1978-04-19,386,41.9912,Jaipur,Finland,SK
123,Tatiania,Hebner,Tatiania.Hebner@yopmail.com,1967-04-11,264,51.8821,Colombo,Jersey,VC
124,Zsa Zsa,Kauppi,Zsa Zsa.Kauppi@yopmail.com,1979-05-05,60,63.4026,Daegu,Norfolk Island,IQ
125,Leontine,Margarete,Leontine.Margarete@yopmail.com,1964-12-27,345,89.4788,Kolkata,Christmas Island,MA
126,Nikki,Graig,Nikki.Graig@yopmail.com,1900-05-31,375,53.0045,Austin,Solomon Islands,AQ
127,Ashlee,Loleta,Ashlee.Loleta@yopmail.com,1916-03-01,338,46.2091,Cayenne,American Samoa,WS
128,Blake,Constancy,Blake.Constancy@yopmail.com,1946-01-16,638,80.1045,Santiago de Cuba,Turks and Caicos Islands,ZA
129,Alia,Peonir,Alia.Peonir@yopmail.com,1975-09-03,488,46.9065,Thessaloniki,Portugal,SY
130,Barbi,Leler,Barbi.Leler@yopmail.com,1960-01-17,658,40.4942,Longyearbyen,Northern Mariana Islands,TZ
131,Cherrita,Wadell,Cherrita.Wadell@yopmail.com,1922-12-05,550,59.6551,City of Halifax,Congo,PE
132,Aurelie,Dichy,Aurelie.Dichy@yopmail.com,1963-10-07,543,75.4704,Hamilton,Zimbabwe,GR
133,Gwyneth,Ephrem,Gwyneth.Ephrem@yopmail.com,1961-07-15,145,52.5432,Jacksonville,Liberia,HM
134,Karolina,Celestine,Karolina.Celestine@yopmail.com,1989-09-26,717,79.9032,Dakar,Latvia,RE
135,Orsola,Grayce,Orsola.Grayce@yopmail.com,1935-06-18,39,77.0085,New York City,Western Sahara,TL
136,Brianna,Fillbert,Brianna.Fillbert@yopmail.com,1989-06-06,432,61.7081,Surabaya,Chad,BG
137,Lexine,Cosenza,Lexine.Cosenza@yopmail.com,1937-10-11,791,60.7407,Shillong,Malaysia,FR
138,Teddie,Raimondo,Teddie.Raimondo@yopmail.com,2002-05-26,989,93.4074,Chongqing,Mexico,ET
139,Ricky,Sikorski,Ricky.Sikorski@yopmail.com,1940-10-30,145,82.2774,Kuala Lumpur,Maldives,US
140,Darlleen,Rebecka,Darlleen.Rebecka@yopmail.com,1939-08-27,861,60.0664,Iqaluit,"Korea, Democratic People""S Republic of",CV
141,Lorenza,Dyche,Lorenza.Dyche@yopmail.com,1967-12-18,916,83.9271,Incheon,Pitcairn,GP
142,Evita,Pattin,Evita.Pattin@yopmail.com,2018-08-19,772,84.1579,Incheon,Ethiopia,PF
143,Andree,Virgin,Andree.Virgin@yopmail.com,1905-02-07,616,74.1588,Johor Bahru,Czech Republic,DK
144,Florencia,Revkah,Florencia.Revkah@yopmail.com,1903-09-21,174,33.3638,Montreal,"Macedonia, The Former Yugoslav Republic of",GR
145,Katleen,Hurley,Katleen.Hurley@yopmail.com,2018-04-20,577,34.194,Ilhéus,Croatia,MT
146,Aigneis,Kirbee,Aigneis.Kirbee@yopmail.com,1969-05-24,874,95.8185,Beirut,Romania,MD
147,Winifred,Terencio,Winifred.Terencio@yopmail.com,1914-11-24,687,78.5623,Hilo,United Arab Emirates,ER
148,Veda,Mendez,Veda.Mendez@yopmail.com,1904-10-15,218,95.175,Miami,Ecuador,LT
149,Brena,Maisey,Brena.Maisey@yopmail.com,1903-02-12,683,93.4354,Pattaya,British Indian Ocean Territory,VN
150,Damaris,Kellby,Damaris.Kellby@yopmail.com,1908-10-17,413,92.6395,Bangkok,"Korea, Republic of",UM
151,Nerta,Schonfeld,Nerta.Schonfeld@yopmail.com,1944-06-02,145,41.3174,Prague,Denmark,CL
152,Morganica,Brian,Morganica.Brian@yopmail.com,1964-02-08,988,35.7242,Surabaya,Romania,BV
153,Rhoda,Israeli,Rhoda.Israeli@yopmail.com,2012-03-28,613,73.8518,Baku,Timor-Leste,SY
154,Corly,Sibyls,Corly.Sibyls@yopmail.com,1951-01-14,195,37.6317,Belém,Morocco,SA
155,Cristine,Jillane,Cristine.Jillane@yopmail.com,1904-05-17,320,69.3868,Jeddah,Jersey,BJ
156,Hildegaard,Edison,Hildegaard.Edison@yopmail.com,1915-01-21,169,77.6272,Brikama,Mongolia,PE
157,Antonietta,Sholley,Antonietta.Sholley@yopmail.com,1982-02-08,6,47.6122,Denpasar,Monaco,CN
158,Stevana,Ashok,Stevana.Ashok@yopmail.com,1934-06-04,349,49.7242,Damascus,Netherlands Antilles,NO
159,Tami,Cherianne,Tami.Cherianne@yopmail.com,1900-04-19,930,68.7182,Cape Town,Antigua and Barbuda,CN
