Studentid,firstname,lastname,email,Date of Exam,Marks,Percentage,City,Country,Country Code
100,Ana,Garlinda,Ana.Garlinda@yopmail.com,15-10-1934,381,78.9635,Ahmedabad,Bulgaria,CO
101,Sabina,Skurnik,Sabina.Skurnik@yopmail.com,26-09-2015,134,58.8249,Alofi,China,TR
102,Adore,Merell,Adore.Merell@yopmail.com,13-08-1911,718,84.2678,Semarang,Yemen,ER
301,Clarice,Eckblad,Clarice.Eckblad@yopmail.com,24-04-1950,406,68.0952,Cork (city),Belarus,BJ
302,Lauryn,Swigart,Lauryn.Swigart@yopmail.com,19-01-2009,151,78.9902,Oranjestad,Guyana,TC
318,Georgetta,Fadiman,Georgetta.Fadiman@yopmail.com,26-07-2006,647,52.9602,Frankfurt,Somalia,AE
321,Roseline,Hutchison,Roseline.Hutchison@yopmail.com,18-07-1974,219,37.6464,Malmö,United States,MU
353,Madeleine,Jethro,Madeleine.Jethro@yopmail.com,08-07-1946,314,69.8708,Nanning,Ukraine,ER
354,Heida,Tippets,Heida.Tippets@yopmail.com,20-10-1904,670,40.9942,Antofagasta,Slovenia,UM
355,Pamella,Pernick,Pamella.Pernick@yopmail.com,31-08-1993,169,39.6135,Sarajevo,Venezuela,AZ
380,Sadie,Fry,Sadie.Fry@yopmail.com,21-03-1912,569,70.7686,Sofia,Chad,ML
381,Karly,Sundin,Karly.Sundin@yopmail.com,22-10-1978,351,53.3767,Shenzhen,French Guiana,PT
382,Margalo,Blisse,Margalo.Blisse@yopmail.com,04-06-1959,87,36.0569,Berlin,Saint Vincent and the Grenadines,LY
383,Valera,Randene,Valera.Randene@yopmail.com,08-07-1934,71,45.9808,Medellín,Northern Mariana Islands,KN
419,Claresta,Rolf,Claresta.Rolf@yopmail.com,09-06-1960,48,46.9168,Davao City,Finland,PN
420,Elfreda,Cutlerr,Elfreda.Cutlerr@yopmail.com,23-10-2007,701,97.542,Lahore,"Iran, Islamic Republic Of",TC
421,Agnese,Ralfston,Agnese.Ralfston@yopmail.com,08-09-1931,605,62.9431,Rosario,Norfolk Island,AD
